utr_number,settlement_id,invoice_no,match_type,confidence,reason
UTR8800272,stl_272,INV-4772,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 48%"
UTR8800299,stl_299,INV-4799,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 43%"
UTR8800302,stl_302,INV-4802,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800313,stl_313,INV-4813,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800317,stl_317,INV-4817,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800323,stl_323,INV-4823,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800330,stl_330,INV-4830,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800332,stl_332,INV-4832,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800337,stl_337,INV-4837,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 48%"
UTR8800339,stl_339,INV-4839,fuzzy,0.57,"Amount matched (diff ₹0.00), date diff 1d, name similarity 57%"
UTR8800340,stl_340,INV-4840,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 48%"
UTR8800351,stl_351,INV-4851,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800353,stl_353,INV-4853,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 43%"
UTR8800364,stl_364,INV-4864,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 3d, name similarity 62%"
UTR8800376,stl_376,INV-4876,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 48%"
UTR8800377,stl_377,INV-4877,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 3d, name similarity 62%"
UTR8800381,stl_381,INV-4881,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 43%"
UTR8800398,stl_398,INV-4898,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 2d, name similarity 62%"
UTR8800414,stl_414,INV-4914,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800421,stl_421,INV-4921,fuzzy,0.57,"Amount matched (diff ₹0.00), date diff 2d, name similarity 57%"
UTR8800425,stl_425,INV-4925,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 43%"
UTR8800430,stl_430,INV-4930,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 43%"
UTR8800433,stl_433,INV-4933,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 43%"
UTR8800434,stl_434,INV-4934,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 43%"
UTR8800451,stl_451,INV-4951,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 46%"
UTR8800471,stl_471,INV-4971,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 43%"
UTR8800476,stl_476,INV-4976,fuzzy,0.73,"Amount matched (diff ₹0.00), date diff 3d, name similarity 73%"
UTR8800478,stl_478,INV-4978,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
