utr_number,settlement_id,customer_name,order_amount,settlement_date,reason
UTR8800200,stl_200,Myntra Designs Pvt Ltd,3086.65,2026-08-11,No ERP invoice found matching amount+date within tolerance.
UTR8800214,stl_214,Zomato Ltd,3414.44,2026-08-22,No ERP invoice found matching amount+date within tolerance.
UTR8800217,stl_217,Swiggy Bundl Technologies,2248.91,2026-08-13,No ERP invoice found matching amount+date within tolerance.
UTR8800232,stl_232,Reliance Retail Ltd,2561.19,2026-08-02,No ERP invoice found matching amount+date within tolerance.
UTR8800240,stl_240,Reliance Retail Ltd,2184.35,2026-08-06,No ERP invoice found matching amount+date within tolerance.
UTR8800247,stl_247,Reliance Retail Ltd,3083.45,2026-08-15,No ERP invoice found matching amount+date within tolerance.
UTR8800293,stl_293,Nykaa E-Retail Pvt Ltd,1553.01,2026-08-09,No ERP invoice found matching amount+date within tolerance.
UTR8800301,stl_301,BigBasket Innovative Retail,2759.03,2026-08-09,No ERP invoice found matching amount+date within tolerance.
UTR8800311,stl_311,Flipkart Internet Pvt Ltd,2855.68,2026-08-13,No ERP invoice found matching amount+date within tolerance.
UTR8800318,stl_318,Myntra Designs Pvt Ltd,4700.17,2026-08-18,No ERP invoice found matching amount+date within tolerance.
UTR8800359,stl_359,Zomato Ltd,1133.95,2026-08-03,No ERP invoice found matching amount+date within tolerance.
UTR8800360,stl_360,BigBasket Innovative Retail,1617.22,2026-08-07,No ERP invoice found matching amount+date within tolerance.
UTR8800361,stl_361,Myntra Designs Pvt Ltd,1354.25,2026-08-07,No ERP invoice found matching amount+date within tolerance.
UTR8800387,stl_387,Nykaa E-Retail Pvt Ltd,1926.68,2026-08-13,No ERP invoice found matching amount+date within tolerance.
UTR8800391,stl_391,Nykaa E-Retail Pvt Ltd,1462.94,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800424,stl_424,BigBasket Innovative Retail,1309.92,2026-08-06,No ERP invoice found matching amount+date within tolerance.
UTR8800437,stl_437,Reliance Retail Ltd,774.31,2026-08-20,No ERP invoice found matching amount+date within tolerance.
UTR8800438,stl_438,BigBasket Innovative Retail,3001.33,2026-08-03,No ERP invoice found matching amount+date within tolerance.
UTR8800441,stl_441,Zomato Ltd,1853.31,2026-08-06,No ERP invoice found matching amount+date within tolerance.
UTR8800447,stl_447,Zomato Ltd,2657.27,2026-08-12,No ERP invoice found matching amount+date within tolerance.
UTR8800459,stl_459,Nykaa E-Retail Pvt Ltd,1328.21,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800473,stl_473,Nykaa E-Retail Pvt Ltd,1719.93,2026-08-04,No ERP invoice found matching amount+date within tolerance.
UTR8800474,stl_474,Amazon Pvt Ltd,1307.1,2026-08-12,No ERP invoice found matching amount+date within tolerance.
UTR8800480,stl_480,Nykaa E-Retail Pvt Ltd,2707.72,2026-08-13,No ERP invoice found matching amount+date within tolerance.
UTR8800484,stl_484,Myntra Designs Pvt Ltd,2123.15,2026-08-04,No ERP invoice found matching amount+date within tolerance.
UTR8800494,stl_494,Nykaa E-Retail Pvt Ltd,981.38,2026-08-11,No ERP invoice found matching amount+date within tolerance.
