utr_number,settlement_id,customer_name,order_amount,settlement_date
UTR8800129,stl_129,Swiggy Bundl Technologies,2617.25,2026-08-10
UTR8800133,stl_133,Myntra Designs Pvt Ltd,1635.79,2026-08-14
UTR8800134,stl_134,Nykaa E-Retail Pvt Ltd,2359.61,2026-08-13
UTR8800135,stl_135,Amazon Pvt Ltd,1416.01,2026-08-11
UTR8800137,stl_137,Amazon Pvt Ltd,2985.13,2026-08-05
UTR8800140,stl_140,Swiggy Bundl Technologies,4388.12,2026-08-15
UTR8800146,stl_146,Amazon Pvt Ltd,1068.11,2026-08-12
UTR8800148,stl_148,Reliance Retail Ltd,2023.53,2026-08-22
UTR8800153,stl_153,BigBasket Innovative Retail,1155.06,2026-08-20
UTR8800154,stl_154,Flipkart Internet Pvt Ltd,3242.71,2026-08-09
UTR8800159,stl_159,Myntra Designs Pvt Ltd,3086.65,2026-08-11
UTR8800165,stl_165,Myntra Designs Pvt Ltd,2888.84,2026-08-07
UTR8800170,stl_170,Nykaa E-Retail Pvt Ltd,612.61,2026-08-19
UTR8800172,stl_172,BigBasket Innovative Retail,1025.04,2026-08-03
UTR8800176,stl_176,Zomato Ltd,2495.22,2026-08-13
UTR8800180,stl_180,Zomato Ltd,3138.72,2026-08-09
UTR8800185,stl_185,Nykaa E-Retail Pvt Ltd,2767.27,2026-08-03
UTR8800186,stl_186,Reliance Retail Ltd,2561.19,2026-08-03
UTR8800190,stl_190,BigBasket Innovative Retail,946.3,2026-08-22
UTR8800191,stl_191,Zomato Ltd,2435.31,2026-08-15
UTR8800192,stl_192,Flipkart Internet Pvt Ltd,1906.47,2026-08-10
UTR8800212,stl_212,BigBasket Innovative Retail,1802.82,2026-08-12
UTR8800221,stl_221,Flipkart Internet Pvt Ltd,1896.84,2026-08-03
UTR8800224,stl_224,Nykaa E-Retail Pvt Ltd,2756.15,2026-08-16
UTR8800226,stl_226,Nykaa E-Retail Pvt Ltd,2858.31,2026-08-13
UTR8800227,stl_227,BigBasket Innovative Retail,2339.46,2026-08-21
UTR8800232,stl_232,BigBasket Innovative Retail,2788.2,2026-08-08
UTR8800235,stl_235,Swiggy Bundl Technologies,3187.61,2026-08-07
UTR8800241,stl_241,Nykaa E-Retail Pvt Ltd,4433.53,2026-08-05
UTR8800243,stl_243,BigBasket Innovative Retail,912.71,2026-08-16
UTR8800244,stl_244,BigBasket Innovative Retail,739.66,2026-08-09
UTR8800246,stl_246,Swiggy Bundl Technologies,1119.2,2026-08-17
UTR8800247,stl_247,Nykaa E-Retail Pvt Ltd,2518.71,2026-08-10
UTR8800249,stl_249,BigBasket Innovative Retail,3375.28,2026-08-04
UTR8800251,stl_251,Myntra Designs Pvt Ltd,1582.54,2026-08-04
UTR8800254,stl_254,Myntra Designs Pvt Ltd,4048.34,2026-08-22
UTR8800261,stl_261,BigBasket Innovative Retail,2025.66,2026-08-17
UTR8800265,stl_265,Nykaa E-Retail Pvt Ltd,690.6,2026-08-13
UTR8800271,stl_271,Zomato Ltd,4822.34,2026-08-18
UTR8800272,stl_272,Flipkart Internet Pvt Ltd,1678.0,2026-08-16
UTR8800274,stl_274,Flipkart Internet Pvt Ltd,2534.19,2026-08-16
UTR8800276,stl_276,Reliance Retail Ltd,4331.13,2026-08-22
UTR8800278,stl_278,Myntra Designs Pvt Ltd,2603.33,2026-08-06
UTR8800279,stl_279,BigBasket Innovative Retail,4998.18,2026-08-18
UTR8800283,stl_283,Reliance Retail Ltd,1240.96,2026-08-09
UTR8800286,stl_286,Swiggy Bundl Technologies,1270.4,2026-08-21
UTR8800293,stl_293,Nykaa E-Retail Pvt Ltd,1615.63,2026-08-11
UTR8800294,stl_294,Swiggy Bundl Technologies,4160.65,2026-08-12
UTR8800295,stl_295,Nykaa E-Retail Pvt Ltd,2744.42,2026-08-02
UTR8800304,stl_304,Swiggy Bundl Technologies,1975.85,2026-08-07
UTR8800309,stl_309,BigBasket Innovative Retail,1164.99,2026-08-03
UTR8800325,stl_325,Amazon Pvt Ltd,4609.53,2026-08-07
UTR8800330,stl_330,Amazon Pvt Ltd,3814.78,2026-08-20
UTR8800335,stl_335,Nykaa E-Retail Pvt Ltd,1880.63,2026-08-18
UTR8800337,stl_337,Myntra Designs Pvt Ltd,2371.31,2026-08-17
UTR8800339,stl_339,Myntra Designs Pvt Ltd,851.46,2026-08-03
UTR8800341,stl_341,Zomato Ltd,3726.13,2026-08-18
UTR8800342,stl_342,BigBasket Innovative Retail,2555.59,2026-08-16
UTR8800348,stl_348,Swiggy Bundl Technologies,3775.36,2026-08-02
UTR8800349,stl_349,Nykaa E-Retail Pvt Ltd,3530.75,2026-08-19
UTR8800350,stl_350,Myntra Designs Pvt Ltd,1198.05,2026-08-05
UTR8800358,stl_358,Nykaa E-Retail Pvt Ltd,1584.36,2026-08-06
UTR8800363,stl_363,Myntra Designs Pvt Ltd,1864.35,2026-08-08
UTR8800370,stl_370,Zomato Ltd,2746.86,2026-08-12
UTR8800383,stl_383,Nykaa E-Retail Pvt Ltd,4303.98,2026-08-12
UTR8800384,stl_384,Flipkart Internet Pvt Ltd,4526.56,2026-08-09
UTR8800390,stl_390,Flipkart Internet Pvt Ltd,2032.67,2026-08-21
UTR8800392,stl_392,BigBasket Innovative Retail,2443.32,2026-08-14
UTR8800403,stl_403,BigBasket Innovative Retail,4118.34,2026-08-12
UTR8800405,stl_405,BigBasket Innovative Retail,4859.26,2026-08-22
UTR8800407,stl_407,Zomato Ltd,3165.02,2026-08-19
UTR8800410,stl_410,Swiggy Bundl Technologies,3718.56,2026-08-04
UTR8800412,stl_412,Myntra Designs Pvt Ltd,3657.35,2026-08-21
UTR8800414,stl_414,Amazon Pvt Ltd,3034.49,2026-08-22
UTR8800417,stl_417,Myntra Designs Pvt Ltd,4989.66,2026-08-11
UTR8800420,stl_420,Nykaa E-Retail Pvt Ltd,1935.09,2026-08-05
UTR8800428,stl_428,Flipkart Internet Pvt Ltd,2065.66,2026-08-21
UTR8800438,stl_438,Flipkart Internet Pvt Ltd,1705.5,2026-08-13
UTR8800439,stl_439,Nykaa E-Retail Pvt Ltd,2958.59,2026-08-05
UTR8800440,stl_440,Reliance Retail Ltd,4436.64,2026-08-04
UTR8800442,stl_442,BigBasket Innovative Retail,1246.92,2026-08-08
UTR8800444,stl_444,Flipkart Internet Pvt Ltd,1110.15,2026-08-15
UTR8800447,stl_447,Reliance Retail Ltd,3325.16,2026-08-04
UTR8800448,stl_448,BigBasket Innovative Retail,2820.26,2026-08-13
UTR8800449,stl_449,Myntra Designs Pvt Ltd,3118.8,2026-08-04
UTR8800450,stl_450,Myntra Designs Pvt Ltd,4325.48,2026-08-14
UTR8800452,stl_452,Swiggy Bundl Technologies,3047.64,2026-08-12
UTR8800460,stl_460,Reliance Retail Ltd,1117.08,2026-08-06
UTR8800463,stl_463,Nykaa E-Retail Pvt Ltd,4369.83,2026-08-05
UTR8800465,stl_465,Flipkart Internet Pvt Ltd,1616.75,2026-08-21
UTR8800468,stl_468,Zomato Ltd,2748.12,2026-08-18
UTR8800473,stl_473,Swiggy Bundl Technologies,1748.6,2026-08-18
UTR8800479,stl_479,Reliance Retail Ltd,3798.21,2026-08-02
UTR8800484,stl_484,BigBasket Innovative Retail,4641.02,2026-08-03
UTR8800485,stl_485,BigBasket Innovative Retail,1510.32,2026-08-12
UTR8800486,stl_486,Flipkart Internet Pvt Ltd,2759.18,2026-08-07
UTR8800495,stl_495,BigBasket Innovative Retail,836.74,2026-08-15
UTR8800496,stl_496,Zomato Ltd,1812.54,2026-08-14
UTR8800497,stl_497,Nykaa E-Retail Pvt Ltd,1723.8,2026-08-08
