invoice_no,customer_name,invoice_amount,invoice_date,payment_ref
INV-4731,Myntra Designs Pvt Ltd,4159.33,2026-08-17,UTR8800231
INV-4733,Nykaa E-Retail Pvt Ltd,1364.02,2026-08-05,UTR8800233
INV-4734,Flipkart Internet Pvt Ltd,2784.6,2026-08-17,UTR8800234
INV-4735,Swiggy Foods,3187.61,2026-08-04,
INV-4736,Swiggy Bundl Technologies,3745.32,2026-08-10,UTR8800236
INV-4737,Nykaa E-Retail Pvt Ltd,3247.68,2026-08-15,UTR8800237
INV-4738,Reliance Retail Ltd,4845.18,2026-08-06,UTR8800238
INV-4739,Nykaa E-Retail Pvt Ltd,2577.56,2026-08-11,UTR8800239
INV-4740,Swiggy Bundl Technologies,4176.01,2026-08-04,UTR8800240
INV-4741,Nykaa Fashion,4433.53,2026-08-02,
INV-4742,Reliance Retail Ltd,877.44,2026-08-13,UTR8800242
INV-4745,Myntra Designs Pvt Ltd,1510.42,2026-08-02,UTR8800245
INV-4746,Swiggy Foods,1119.2,2026-08-14,
INV-4747,Nykaa Fashion,2518.71,2026-08-09,
INV-4748,BigBasket Innovative Retail,1000.34,2026-08-10,UTR8800248
INV-4749,Big Basket,3375.28,2026-08-03,
INV-4750,Amazon Pvt Ltd,3343.8,2026-08-04,UTR8800250
INV-4752,Flipkart Internet Pvt Ltd,4790.32,2026-08-15,UTR8800252
INV-4753,Nykaa E-Retail Pvt Ltd,695.9,2026-08-11,UTR8800253
INV-4754,Myntra Jabong,4048.34,2026-08-21,
INV-4755,Myntra Designs Pvt Ltd,1100.34,2026-08-09,UTR8800255
INV-4756,Nykaa E-Retail Pvt Ltd,4913.69,2026-08-06,UTR8800256
INV-4757,Nykaa E-Retail Pvt Ltd,666.43,2026-08-07,UTR8800257
INV-4758,Reliance Retail Ltd,2819.23,2026-08-17,UTR8800258
INV-4759,Zomato Ltd,1787.5,2026-07-31,UTR8800259
INV-4760,Flipkart Internet Pvt Ltd,4097.04,2026-08-11,UTR8800260
INV-4762,Reliance Retail Ltd,4105.17,2026-08-02,UTR8800262
INV-4763,Swiggy Bundl Technologies,2954.63,2026-08-02,UTR8800263
INV-4764,Reliance Retail Ltd,2506.62,2026-08-04,UTR8800264
INV-4766,Reliance Retail Ltd,3377.61,2026-08-02,UTR8800266
INV-4767,BigBasket Innovative Retail,2134.9,2026-08-06,UTR8800267
INV-4768,Nykaa E-Retail Pvt Ltd,656.6,2026-08-20,UTR8800268
INV-4769,Amazon Pvt Ltd,3222.93,2026-08-11,UTR8800269
INV-4770,Flipkart Internet Pvt Ltd,3082.65,2026-08-12,UTR8800270
INV-4773,Reliance Retail Ltd,3622.91,2026-08-07,UTR8800273
INV-4774,Flipkart,2534.19,2026-08-15,
INV-4775,Myntra Designs Pvt Ltd,3505.28,2026-08-16,UTR8800275
INV-4776,Reliance Digital,4331.13,2026-08-21,
INV-4777,Flipkart Internet Pvt Ltd,4933.1,2026-08-07,UTR8800277
INV-4778,Myntra Jabong,2603.33,2026-08-03,
INV-4779,Big Basket,4998.18,2026-08-16,
INV-4780,Flipkart Internet Pvt Ltd,1063.97,2026-08-02,UTR8800280
INV-4781,Myntra Designs Pvt Ltd,1077.51,2026-08-16,UTR8800281
INV-4782,Swiggy Bundl Technologies,2446.78,2026-08-02,UTR8800282
INV-4784,Reliance Retail Ltd,4306.7,2026-08-19,UTR8800284
INV-4785,Reliance Retail Ltd,3264.93,2026-08-21,UTR8800285
INV-4786,Swiggy Foods,1270.4,2026-08-19,
INV-4787,Amazon Pvt Ltd,865.5,2026-08-18,UTR8800287
INV-4788,BigBasket Innovative Retail,3281.49,2026-08-17,UTR8800288
INV-4789,Reliance Retail Ltd,2673.25,2026-08-12,UTR8800289
INV-4790,Amazon Pvt Ltd,1211.36,2026-08-15,UTR8800290
INV-4791,Swiggy Bundl Technologies,1906.62,2026-08-11,UTR8800291
INV-4792,Myntra Designs Pvt Ltd,2817.41,2026-08-07,UTR8800292
INV-4793,Nykaa Fashion,1615.63,2026-08-09,
INV-4794,Swiggy Foods,4160.65,2026-08-11,
INV-4796,Nykaa E-Retail Pvt Ltd,4850.09,2026-08-12,UTR8800296
INV-4797,Nykaa E-Retail Pvt Ltd,3188.83,2026-08-15,UTR8800297
INV-4798,Flipkart Internet Pvt Ltd,2439.17,2026-08-11,UTR8800298
INV-4799,BigBasket Innovative Retail,730.21,2026-08-10,UTR8800299
INV-4800,BigBasket Innovative Retail,2769.15,2026-08-07,UTR8800300
INV-4801,Flipkart Internet Pvt Ltd,1078.99,2026-08-11,UTR8800301
INV-4802,Myntra Designs Pvt Ltd,3897.34,2026-08-16,UTR8800302
INV-4803,Amazon Pvt Ltd,675.11,2026-08-14,UTR8800303
INV-4805,Reliance Retail Ltd,3171.76,2026-08-15,UTR8800305
INV-4806,Reliance Retail Ltd,2637.02,2026-08-03,UTR8800306
INV-4807,Amazon Pvt Ltd,3186.09,2026-08-19,UTR8800307
INV-4808,Amazon Pvt Ltd,3125.85,2026-08-19,UTR8800308
INV-4810,Flipkart Internet Pvt Ltd,1358.53,2026-08-14,UTR8800310
INV-4811,Zomato Ltd,2346.7,2026-08-14,UTR8800311
INV-4812,Swiggy Bundl Technologies,2834.07,2026-08-14,UTR8800312
INV-4813,Swiggy Bundl Technologies,2568.49,2026-08-17,UTR8800313
INV-4814,Reliance Retail Ltd,3245.34,2026-08-07,UTR8800314
INV-4815,Zomato Ltd,4736.68,2026-08-08,UTR8800315
INV-4816,Nykaa E-Retail Pvt Ltd,1926.68,2026-08-08,UTR8800316
INV-4817,BigBasket Innovative Retail,4530.92,2026-08-12,UTR8800317
INV-4818,Reliance Retail Ltd,4798.91,2026-08-13,UTR8800318
INV-4819,Nykaa E-Retail Pvt Ltd,1462.94,2026-08-07,UTR8800319
INV-4820,Swiggy Bundl Technologies,991.52,2026-08-08,UTR8800320
INV-4821,Zomato Ltd,3370.75,2026-08-13,UTR8800321
INV-4822,Flipkart Internet Pvt Ltd,3565.36,2026-08-18,UTR8800322
INV-4823,Nykaa E-Retail Pvt Ltd,2648.52,2026-08-09,UTR8800323
INV-4824,Amazon Pvt Ltd,4585.72,2026-08-19,UTR8800324
INV-4826,BigBasket Innovative Retail,4045.82,2026-08-10,UTR8800326
INV-4827,Flipkart Internet Pvt Ltd,4678.05,2026-08-13,UTR8800327
INV-4828,Nykaa E-Retail Pvt Ltd,4501.67,2026-08-16,UTR8800328
INV-4829,Flipkart Internet Pvt Ltd,1988.08,2026-08-20,UTR8800329
INV-4830,Amazon India,3814.78,2026-08-17,
INV-4831,BigBasket Innovative Retail,4221.45,2026-08-02,UTR8800331
INV-4832,Swiggy Bundl Technologies,4917.58,2026-08-08,UTR8800332
INV-4833,Zomato Ltd,2510.31,2026-08-10,UTR8800333
INV-4834,Amazon Pvt Ltd,1676.99,2026-08-08,UTR8800334
INV-4835,Nykaa Fashion,1880.63,2026-08-15,
INV-4836,Reliance Retail Ltd,2153.95,2026-08-04,UTR8800336
INV-4837,Myntra Jabong,2371.31,2026-08-14,
INV-4838,Zomato Ltd,3561.54,2026-08-01,UTR8800338
INV-4840,Zomato Ltd,3077.16,2026-08-09,UTR8800340
INV-4841,Zomato Media,3726.13,2026-08-16,
INV-4842,Big Basket,2555.59,2026-08-13,
INV-4843,BigBasket Innovative Retail,1645.06,2026-08-03,UTR8800343
INV-4844,Flipkart Internet Pvt Ltd,2935.24,2026-08-02,UTR8800344
INV-4845,BigBasket Innovative Retail,1309.92,2026-08-19,UTR8800345
INV-4846,BigBasket Innovative Retail,2185.07,2026-08-14,UTR8800346
INV-4847,Swiggy Bundl Technologies,3440.9,2026-08-04,UTR8800347
INV-4849,Nykaa Fashion,3530.75,2026-08-17,
INV-4850,Myntra Jabong,1198.05,2026-08-04,
INV-4851,Amazon Pvt Ltd,1583.0,2026-08-20,UTR8800351
INV-4852,Amazon Pvt Ltd,1601.3,2026-08-15,UTR8800352
INV-4853,Amazon Pvt Ltd,1130.61,2026-08-06,UTR8800353
INV-4854,Myntra Designs Pvt Ltd,1566.07,2026-08-17,UTR8800354
INV-4855,Reliance Retail Ltd,774.31,2026-08-04,UTR8800355
INV-4856,Nykaa E-Retail Pvt Ltd,710.98,2026-08-19,UTR8800356
INV-4857,Myntra Designs Pvt Ltd,3633.39,2026-08-09,UTR8800357
INV-4859,BigBasket Innovative Retail,4855.04,2026-08-04,UTR8800359
INV-4860,Zomato Ltd,1986.18,2026-08-14,UTR8800360
INV-4861,Zomato Ltd,731.91,2026-08-18,UTR8800361
INV-4862,Flipkart Internet Pvt Ltd,1346.73,2026-08-18,UTR8800362
INV-4864,Flipkart Internet Pvt Ltd,3860.96,2026-08-06,UTR8800364
INV-4865,Zomato Ltd,2284.84,2026-08-10,UTR8800365
INV-4866,Myntra Designs Pvt Ltd,1887.9,2026-08-15,UTR8800366
INV-4867,Nykaa E-Retail Pvt Ltd,3927.33,2026-08-06,UTR8800367
INV-4868,Amazon Pvt Ltd,3031.36,2026-08-05,UTR8800368
INV-4869,BigBasket Innovative Retail,1828.37,2026-08-07,UTR8800369
INV-4870,Zomato Media,2746.86,2026-08-10,
INV-4871,Nykaa E-Retail Pvt Ltd,2573.73,2026-08-12,UTR8800371
INV-4872,Nykaa E-Retail Pvt Ltd,1328.21,2026-08-21,UTR8800372
INV-4873,Flipkart Internet Pvt Ltd,4753.35,2026-07-31,UTR8800373
INV-4874,Zomato Ltd,805.86,2026-08-05,UTR8800374
INV-4875,Amazon Pvt Ltd,3280.26,2026-08-19,UTR8800375
INV-4876,Amazon Pvt Ltd,529.76,2026-08-01,UTR8800376
INV-4877,Reliance Retail Ltd,2910.82,2026-08-15,UTR8800377
INV-4878,Swiggy Bundl Technologies,981.57,2026-08-05,UTR8800378
INV-4879,Reliance Retail Ltd,4168.46,2026-08-13,UTR8800379
INV-4880,BigBasket Innovative Retail,2565.49,2026-08-07,UTR8800380
INV-4881,Flipkart Internet Pvt Ltd,3441.81,2026-08-02,UTR8800381
INV-4882,BigBasket Innovative Retail,2987.16,2026-07-30,UTR8800382
INV-4885,Nykaa E-Retail Pvt Ltd,1719.93,2026-08-07,UTR8800385
INV-4886,Amazon Pvt Ltd,1307.1,2026-08-01,UTR8800386
INV-4887,BigBasket Innovative Retail,4679.94,2026-08-19,UTR8800387
INV-4888,BigBasket Innovative Retail,3546.66,2026-08-11,UTR8800388
INV-4889,Flipkart Internet Pvt Ltd,2753.57,2026-08-02,UTR8800389
INV-4891,Myntra Designs Pvt Ltd,633.32,2026-08-14,UTR8800391
INV-4892,Big Basket,2443.32,2026-08-13,
INV-4893,Zomato Ltd,3708.99,2026-08-04,UTR8800393
INV-4894,Swiggy Bundl Technologies,3828.45,2026-08-04,UTR8800394
INV-4895,Reliance Retail Ltd,2501.31,2026-08-04,UTR8800395
INV-4896,BigBasket Innovative Retail,2519.8,2026-08-14,UTR8800396
INV-4897,Myntra Designs Pvt Ltd,2993.99,2026-08-10,UTR8800397
INV-4898,BigBasket Innovative Retail,2245.1,2026-08-18,UTR8800398
INV-4899,Swiggy Bundl Technologies,3583.92,2026-08-08,UTR8800399
INV-4900,Swiggy Bundl Technologies,784.7,2026-08-13,UTR8800400
INV-4901,Flipkart Internet Pvt Ltd,2125.06,2026-08-20,UTR8800401
INV-4902,Zomato Ltd,2560.38,2026-07-31,UTR8800402
INV-4903,Big Basket,4118.34,2026-08-10,
INV-4904,Swiggy Bundl Technologies,1851.96,2026-08-06,UTR8800404
INV-4906,Zomato Ltd,1966.49,2026-08-12,UTR8800406
INV-4908,Nykaa E-Retail Pvt Ltd,4743.39,2026-08-08,UTR8800408
INV-4909,BigBasket Innovative Retail,3528.4,2026-08-10,UTR8800409
INV-4911,Nykaa E-Retail Pvt Ltd,3120.1,2026-08-12,UTR8800411
INV-4913,Flipkart Internet Pvt Ltd,3960.29,2026-08-12,UTR8800413
INV-4915,Myntra Designs Pvt Ltd,4845.73,2026-08-01,UTR8800415
INV-4916,Zomato Ltd,2506.0,2026-08-17,UTR8800416
INV-4918,Flipkart Internet Pvt Ltd,1022.31,2026-08-04,UTR8800418
INV-4919,Nykaa E-Retail Pvt Ltd,4029.21,2026-08-11,UTR8800419
INV-4920,Nykaa Fashion,1935.09,2026-08-04,
INV-4921,Swiggy Bundl Technologies,4684.65,2026-08-17,UTR8800421
INV-4922,Myntra Designs Pvt Ltd,3019.32,2026-08-07,UTR8800422
INV-4923,Swiggy Bundl Technologies,3382.15,2026-07-30,UTR8800423
INV-4924,Zomato Ltd,2523.09,2026-07-30,UTR8800424
INV-4925,Reliance Retail Ltd,3885.46,2026-08-01,UTR8800425
INV-4926,Swiggy Bundl Technologies,2146.07,2026-08-03,UTR8800426
INV-4927,Nykaa E-Retail Pvt Ltd,2874.72,2026-08-19,UTR8800427
