utr_number,settlement_id,invoice_no,should_match
UTR8800058,stl_058,NONE,no
UTR8800059,stl_059,NONE,no
UTR8800060,stl_060,INV-4560,yes
UTR8800061,stl_061,INV-4561,yes
UTR8800062,stl_062,INV-4562,yes
UTR8800063,stl_063,INV-4563,yes
UTR8800064,stl_064,INV-4564,yes
UTR8800065,stl_065,INV-4565,yes
UTR8800066,stl_066,NONE,no
UTR8800067,stl_067,INV-4567,yes
UTR8800068,stl_068,INV-4568,yes
UTR8800069,stl_069,INV-4569,yes
UTR8800070,stl_070,NONE,no
UTR8800071,stl_071,NONE,no
UTR8800072,stl_072,INV-4572,yes
UTR8800073,stl_073,INV-4573,yes
UTR8800074,stl_074,INV-4574,yes
UTR8800075,stl_075,INV-4575,yes
UTR8800076,stl_076,INV-4576,yes
UTR8800077,stl_077,INV-4577,yes
UTR8800078,stl_078,NONE,no
UTR8800079,stl_079,INV-4579,yes
UTR8800080,stl_080,INV-4580,yes
UTR8800081,stl_081,INV-4581,yes
UTR8800082,stl_082,INV-4582,yes
UTR8800083,stl_083,NONE,no
UTR8800084,stl_084,NONE,no
UTR8800085,stl_085,INV-4585,yes
UTR8800086,stl_086,INV-4586,yes
UTR8800087,stl_087,INV-4587,yes
UTR8800088,stl_088,INV-4588,yes
UTR8800089,stl_089,INV-4589,yes
UTR8800090,stl_090,INV-4590,yes
UTR8800091,stl_091,INV-4591,yes
UTR8800092,stl_092,NONE,no
UTR8800093,stl_093,INV-4593,yes
UTR8800094,stl_094,INV-4594,yes
UTR8800095,stl_095,INV-4595,yes
UTR8800096,stl_096,INV-4596,yes
UTR8800097,stl_097,INV-4597,yes
UTR8800098,stl_098,INV-4598,yes
UTR8800099,stl_099,INV-4599,yes
UTR8800100,stl_100,INV-4600,yes
UTR8800101,stl_101,INV-4601,yes
UTR8800102,stl_102,INV-4602,yes
UTR8800103,stl_103,INV-4603,yes
UTR8800104,stl_104,INV-4604,yes
UTR8800105,stl_105,NONE,no
UTR8800106,stl_106,INV-4606,yes
UTR8800107,stl_107,INV-4607,yes
UTR8800108,stl_108,INV-4608,yes
UTR8800109,stl_109,INV-4609,yes
UTR8800110,stl_110,INV-4610,yes
UTR8800111,stl_111,INV-4611,yes
UTR8800112,stl_112,INV-4612,yes
UTR8800113,stl_113,INV-4613,yes
UTR8800114,stl_114,INV-4614,yes
UTR8800115,stl_115,INV-4615,yes
UTR8800116,stl_116,INV-4616,yes
UTR8800117,stl_117,NONE,no
UTR8800118,stl_118,INV-4618,yes
UTR8800119,stl_119,INV-4619,yes
UTR8800120,stl_120,NONE,no
UTR8800121,stl_121,INV-4621,yes
UTR8800122,stl_122,INV-4622,yes
UTR8800123,stl_123,INV-4623,yes
UTR8800124,stl_124,INV-4624,yes
UTR8800125,stl_125,INV-4625,yes
UTR8800126,stl_126,INV-4626,yes
UTR8800127,stl_127,INV-4627,yes
UTR8800128,stl_128,INV-4628,yes
UTR8800129,stl_129,INV-4629,yes
UTR8800130,stl_130,INV-4630,yes
UTR8800131,stl_131,INV-4631,yes
UTR8800132,stl_132,INV-4632,yes
UTR8800133,stl_133,INV-4633,yes
UTR8800134,stl_134,INV-4634,yes
UTR8800135,stl_135,INV-4635,yes
UTR8800136,stl_136,NONE,no
UTR8800137,stl_137,INV-4637,yes
UTR8800138,stl_138,INV-4638,yes
UTR8800139,stl_139,INV-4639,yes
UTR8800140,stl_140,INV-4640,yes
UTR8800141,stl_141,INV-4641,yes
UTR8800142,stl_142,INV-4642,yes
UTR8800143,stl_143,INV-4643,yes
UTR8800144,stl_144,INV-4644,yes
UTR8800145,stl_145,INV-4645,yes
UTR8800146,stl_146,INV-4646,yes
UTR8800147,stl_147,INV-4647,yes
UTR8800148,stl_148,NONE,no
UTR8800149,stl_149,INV-4649,yes
UTR8800150,stl_150,INV-4650,yes
UTR8800151,stl_151,INV-4651,yes
UTR8800152,stl_152,INV-4652,yes
UTR8800153,stl_153,INV-4653,yes
UTR8800154,stl_154,INV-4654,yes
UTR8800155,stl_155,INV-4655,yes
UTR8800156,stl_156,INV-4656,yes
UTR8800157,stl_157,INV-4657,yes
UTR8800158,stl_158,INV-4658,yes
UTR8800159,stl_159,INV-4659,yes
UTR8800160,stl_160,INV-4660,yes
UTR8800161,stl_161,INV-4661,yes
UTR8800162,stl_162,NONE,no
UTR8800163,stl_163,INV-4663,yes
UTR8800164,stl_164,INV-4664,yes
UTR8800165,stl_165,INV-4665,yes
UTR8800166,stl_166,INV-4666,yes
UTR8800167,stl_167,INV-4667,yes
UTR8800168,stl_168,INV-4668,yes
UTR8800169,stl_169,INV-4669,yes
UTR8800170,stl_170,NONE,no
UTR8800171,stl_171,INV-4671,yes
UTR8800172,stl_172,INV-4672,yes
UTR8800173,stl_173,NONE,no
UTR8800174,stl_174,INV-4674,yes
UTR8800175,stl_175,INV-4675,yes
UTR8800176,stl_176,INV-4676,yes
UTR8800177,stl_177,INV-4677,yes
UTR8800178,stl_178,INV-4678,yes
UTR8800179,stl_179,INV-4679,yes
UTR8800180,stl_180,INV-4680,yes
UTR8800181,stl_181,INV-4681,yes
UTR8800182,stl_182,NONE,no
UTR8800183,stl_183,INV-4683,yes
UTR8800184,stl_184,INV-4684,yes
UTR8800185,stl_185,INV-4685,yes
UTR8800186,stl_186,INV-4686,yes
UTR8800187,stl_187,INV-4687,yes
UTR8800188,stl_188,NONE,no
UTR8800189,stl_189,INV-4689,yes
UTR8800190,stl_190,NONE,no
UTR8800191,stl_191,INV-4691,yes
UTR8800192,stl_192,INV-4692,yes
UTR8800193,stl_193,INV-4693,yes
UTR8800194,stl_194,NONE,no
UTR8800195,stl_195,INV-4695,yes
UTR8800196,stl_196,INV-4696,yes
UTR8800197,stl_197,INV-4697,yes
UTR8800198,stl_198,INV-4698,yes
UTR8800199,stl_199,INV-4699,yes
UTR8800200,stl_200,NONE,no
UTR8800201,stl_201,INV-4701,yes
UTR8800202,stl_202,INV-4702,yes
UTR8800203,stl_203,INV-4703,yes
UTR8800204,stl_204,INV-4704,yes
UTR8800205,stl_205,INV-4705,yes
UTR8800206,stl_206,INV-4706,yes
UTR8800207,stl_207,INV-4707,yes
UTR8800208,stl_208,INV-4708,yes
UTR8800209,stl_209,INV-4709,yes
UTR8800210,stl_210,INV-4710,yes
UTR8800211,stl_211,INV-4711,yes
UTR8800212,stl_212,INV-4712,yes
UTR8800213,stl_213,INV-4713,yes
UTR8800214,stl_214,NONE,no
UTR8800215,stl_215,INV-4715,yes
UTR8800216,stl_216,INV-4716,yes
UTR8800217,stl_217,NONE,no
UTR8800218,stl_218,INV-4718,yes
UTR8800219,stl_219,INV-4719,yes
UTR8800220,stl_220,INV-4720,yes
UTR8800221,stl_221,INV-4721,yes
UTR8800222,stl_222,INV-4722,yes
UTR8800223,stl_223,INV-4723,yes
UTR8800224,stl_224,INV-4724,yes
UTR8800225,stl_225,INV-4725,yes
UTR8800226,stl_226,INV-4726,yes
UTR8800227,stl_227,INV-4727,yes
UTR8800228,stl_228,INV-4728,yes
UTR8800229,stl_229,INV-4729,yes
UTR8800230,stl_230,INV-4730,yes
UTR8800231,stl_231,INV-4731,yes
UTR8800232,stl_232,NONE,no
UTR8800233,stl_233,INV-4733,yes
UTR8800234,stl_234,INV-4734,yes
UTR8800235,stl_235,INV-4735,yes
UTR8800236,stl_236,INV-4736,yes
UTR8800237,stl_237,INV-4737,yes
UTR8800238,stl_238,INV-4738,yes
UTR8800239,stl_239,INV-4739,yes
UTR8800240,stl_240,NONE,no
UTR8800241,stl_241,INV-4741,yes
UTR8800242,stl_242,INV-4742,yes
UTR8800243,stl_243,INV-4743,yes
UTR8800244,stl_244,INV-4744,yes
UTR8800245,stl_245,INV-4745,yes
UTR8800246,stl_246,INV-4746,yes
UTR8800247,stl_247,NONE,no
UTR8800248,stl_248,INV-4748,yes
UTR8800249,stl_249,INV-4749,yes
UTR8800250,stl_250,INV-4750,yes
UTR8800251,stl_251,INV-4751,yes
UTR8800252,stl_252,INV-4752,yes
UTR8800253,stl_253,INV-4753,yes
UTR8800254,stl_254,INV-4754,yes
UTR8800255,stl_255,INV-4755,yes
UTR8800256,stl_256,INV-4756,yes
UTR8800257,stl_257,INV-4757,yes
UTR8800258,stl_258,INV-4758,yes
UTR8800259,stl_259,INV-4759,yes
UTR8800260,stl_260,INV-4760,yes
UTR8800261,stl_261,INV-4761,yes
UTR8800262,stl_262,INV-4762,yes
UTR8800263,stl_263,INV-4763,yes
UTR8800264,stl_264,INV-4764,yes
UTR8800265,stl_265,INV-4765,yes
UTR8800266,stl_266,INV-4766,yes
UTR8800267,stl_267,INV-4767,yes
UTR8800268,stl_268,INV-4768,yes
UTR8800269,stl_269,INV-4769,yes
UTR8800270,stl_270,INV-4770,yes
UTR8800271,stl_271,INV-4771,yes
UTR8800272,stl_272,INV-4772,yes
UTR8800273,stl_273,INV-4773,yes
UTR8800274,stl_274,INV-4774,yes
UTR8800275,stl_275,INV-4775,yes
UTR8800276,stl_276,INV-4776,yes
UTR8800277,stl_277,INV-4777,yes
UTR8800278,stl_278,INV-4778,yes
UTR8800279,stl_279,INV-4779,yes
UTR8800280,stl_280,INV-4780,yes
UTR8800281,stl_281,INV-4781,yes
UTR8800282,stl_282,INV-4782,yes
UTR8800283,stl_283,INV-4783,yes
UTR8800284,stl_284,INV-4784,yes
UTR8800285,stl_285,INV-4785,yes
UTR8800286,stl_286,INV-4786,yes
UTR8800287,stl_287,INV-4787,yes
UTR8800288,stl_288,INV-4788,yes
UTR8800289,stl_289,INV-4789,yes
UTR8800290,stl_290,INV-4790,yes
UTR8800291,stl_291,INV-4791,yes
UTR8800292,stl_292,INV-4792,yes
UTR8800293,stl_293,NONE,no
UTR8800294,stl_294,INV-4794,yes
UTR8800295,stl_295,INV-4795,yes
UTR8800296,stl_296,INV-4796,yes
UTR8800297,stl_297,INV-4797,yes
UTR8800298,stl_298,INV-4798,yes
UTR8800299,stl_299,INV-4799,yes
UTR8800300,stl_300,INV-4800,yes
UTR8800301,stl_301,NONE,no
UTR8800302,stl_302,INV-4802,yes
UTR8800303,stl_303,INV-4803,yes
UTR8800304,stl_304,INV-4804,yes
UTR8800305,stl_305,INV-4805,yes
UTR8800306,stl_306,INV-4806,yes
UTR8800307,stl_307,INV-4807,yes
UTR8800308,stl_308,INV-4808,yes
UTR8800309,stl_309,INV-4809,yes
UTR8800310,stl_310,INV-4810,yes
UTR8800311,stl_311,NONE,no
UTR8800312,stl_312,INV-4812,yes
UTR8800313,stl_313,INV-4813,yes
UTR8800314,stl_314,INV-4814,yes
UTR8800315,stl_315,INV-4815,yes
UTR8800316,stl_316,INV-4816,yes
UTR8800317,stl_317,INV-4817,yes
UTR8800318,stl_318,NONE,no
UTR8800319,stl_319,INV-4819,yes
UTR8800320,stl_320,INV-4820,yes
UTR8800321,stl_321,INV-4821,yes
UTR8800322,stl_322,INV-4822,yes
UTR8800323,stl_323,INV-4823,yes
UTR8800324,stl_324,INV-4824,yes
UTR8800325,stl_325,INV-4825,yes
UTR8800326,stl_326,INV-4826,yes
UTR8800327,stl_327,INV-4827,yes
UTR8800328,stl_328,INV-4828,yes
UTR8800329,stl_329,INV-4829,yes
UTR8800330,stl_330,INV-4830,yes
UTR8800331,stl_331,INV-4831,yes
UTR8800332,stl_332,INV-4832,yes
UTR8800333,stl_333,INV-4833,yes
UTR8800334,stl_334,INV-4834,yes
UTR8800335,stl_335,INV-4835,yes
UTR8800336,stl_336,INV-4836,yes
UTR8800337,stl_337,INV-4837,yes
UTR8800338,stl_338,INV-4838,yes
UTR8800339,stl_339,INV-4839,yes
UTR8800340,stl_340,INV-4840,yes
UTR8800341,stl_341,INV-4841,yes
UTR8800342,stl_342,INV-4842,yes
UTR8800343,stl_343,INV-4843,yes
UTR8800344,stl_344,INV-4844,yes
UTR8800345,stl_345,INV-4845,yes
UTR8800346,stl_346,INV-4846,yes
UTR8800347,stl_347,INV-4847,yes
UTR8800348,stl_348,INV-4848,yes
UTR8800349,stl_349,INV-4849,yes
UTR8800350,stl_350,INV-4850,yes
UTR8800351,stl_351,INV-4851,yes
UTR8800352,stl_352,INV-4852,yes
UTR8800353,stl_353,INV-4853,yes
UTR8800354,stl_354,INV-4854,yes
UTR8800355,stl_355,INV-4855,yes
UTR8800356,stl_356,INV-4856,yes
UTR8800357,stl_357,INV-4857,yes
UTR8800358,stl_358,INV-4858,yes
UTR8800359,stl_359,NONE,no
UTR8800360,stl_360,NONE,no
UTR8800361,stl_361,NONE,no
UTR8800362,stl_362,INV-4862,yes
UTR8800363,stl_363,INV-4863,yes
UTR8800364,stl_364,INV-4864,yes
UTR8800365,stl_365,INV-4865,yes
UTR8800366,stl_366,INV-4866,yes
UTR8800367,stl_367,INV-4867,yes
UTR8800368,stl_368,INV-4868,yes
UTR8800369,stl_369,INV-4869,yes
UTR8800370,stl_370,INV-4870,yes
UTR8800371,stl_371,INV-4871,yes
UTR8800372,stl_372,INV-4872,yes
UTR8800373,stl_373,INV-4873,yes
UTR8800374,stl_374,INV-4874,yes
UTR8800375,stl_375,INV-4875,yes
UTR8800376,stl_376,INV-4876,yes
UTR8800377,stl_377,INV-4877,yes
UTR8800378,stl_378,INV-4878,yes
UTR8800379,stl_379,INV-4879,yes
UTR8800380,stl_380,INV-4880,yes
UTR8800381,stl_381,INV-4881,yes
UTR8800382,stl_382,INV-4882,yes
UTR8800383,stl_383,INV-4883,yes
UTR8800384,stl_384,INV-4884,yes
UTR8800385,stl_385,INV-4885,yes
UTR8800386,stl_386,INV-4886,yes
UTR8800387,stl_387,NONE,no
UTR8800388,stl_388,INV-4888,yes
UTR8800389,stl_389,INV-4889,yes
UTR8800390,stl_390,INV-4890,yes
UTR8800391,stl_391,NONE,no
UTR8800392,stl_392,INV-4892,yes
UTR8800393,stl_393,INV-4893,yes
UTR8800394,stl_394,INV-4894,yes
UTR8800395,stl_395,INV-4895,yes
UTR8800396,stl_396,INV-4896,yes
UTR8800397,stl_397,INV-4897,yes
UTR8800398,stl_398,INV-4898,yes
UTR8800399,stl_399,INV-4899,yes
UTR8800400,stl_400,INV-4900,yes
UTR8800401,stl_401,INV-4901,yes
UTR8800402,stl_402,INV-4902,yes
UTR8800403,stl_403,INV-4903,yes
UTR8800404,stl_404,INV-4904,yes
UTR8800405,stl_405,INV-4905,yes
UTR8800406,stl_406,INV-4906,yes
UTR8800407,stl_407,INV-4907,yes
UTR8800408,stl_408,INV-4908,yes
UTR8800409,stl_409,INV-4909,yes
UTR8800410,stl_410,INV-4910,yes
UTR8800411,stl_411,INV-4911,yes
UTR8800412,stl_412,INV-4912,yes
UTR8800413,stl_413,INV-4913,yes
UTR8800414,stl_414,INV-4914,yes
UTR8800415,stl_415,INV-4915,yes
UTR8800416,stl_416,INV-4916,yes
UTR8800417,stl_417,INV-4917,yes
UTR8800418,stl_418,INV-4918,yes
UTR8800419,stl_419,INV-4919,yes
UTR8800420,stl_420,INV-4920,yes
UTR8800421,stl_421,INV-4921,yes
UTR8800422,stl_422,INV-4922,yes
UTR8800423,stl_423,INV-4923,yes
UTR8800424,stl_424,NONE,no
UTR8800425,stl_425,INV-4925,yes
UTR8800426,stl_426,INV-4926,yes
UTR8800427,stl_427,INV-4927,yes
UTR8800428,stl_428,INV-4928,yes
UTR8800429,stl_429,INV-4929,yes
UTR8800430,stl_430,INV-4930,yes
UTR8800431,stl_431,INV-4931,yes
UTR8800432,stl_432,INV-4932,yes
UTR8800433,stl_433,INV-4933,yes
UTR8800434,stl_434,INV-4934,yes
UTR8800435,stl_435,INV-4935,yes
UTR8800436,stl_436,INV-4936,yes
UTR8800437,stl_437,NONE,no
UTR8800438,stl_438,NONE,no
UTR8800439,stl_439,INV-4939,yes
UTR8800440,stl_440,INV-4940,yes
UTR8800441,stl_441,NONE,no
UTR8800442,stl_442,INV-4942,yes
UTR8800443,stl_443,INV-4943,yes
UTR8800444,stl_444,INV-4944,yes
UTR8800445,stl_445,INV-4945,yes
UTR8800446,stl_446,INV-4946,yes
UTR8800447,stl_447,NONE,no
UTR8800448,stl_448,INV-4948,yes
UTR8800449,stl_449,INV-4949,yes
UTR8800450,stl_450,INV-4950,yes
UTR8800451,stl_451,INV-4951,yes
UTR8800452,stl_452,INV-4952,yes
UTR8800453,stl_453,INV-4953,yes
UTR8800454,stl_454,INV-4954,yes
UTR8800455,stl_455,INV-4955,yes
UTR8800456,stl_456,INV-4956,yes
UTR8800457,stl_457,INV-4957,yes
UTR8800458,stl_458,INV-4958,yes
UTR8800459,stl_459,NONE,no
UTR8800460,stl_460,INV-4960,yes
UTR8800461,stl_461,INV-4961,yes
UTR8800462,stl_462,INV-4962,yes
UTR8800463,stl_463,INV-4963,yes
UTR8800464,stl_464,INV-4964,yes
UTR8800465,stl_465,INV-4965,yes
UTR8800466,stl_466,INV-4966,yes
UTR8800467,stl_467,INV-4967,yes
UTR8800468,stl_468,INV-4968,yes
UTR8800469,stl_469,INV-4969,yes
UTR8800470,stl_470,INV-4970,yes
UTR8800471,stl_471,INV-4971,yes
UTR8800472,stl_472,INV-4972,yes
UTR8800473,stl_473,NONE,no
UTR8800474,stl_474,NONE,no
UTR8800475,stl_475,INV-4975,yes
UTR8800476,stl_476,INV-4976,yes
UTR8800477,stl_477,INV-4977,yes
UTR8800478,stl_478,INV-4978,yes
UTR8800479,stl_479,INV-4979,yes
UTR8800480,stl_480,NONE,no
UTR8800481,stl_481,INV-4981,yes
UTR8800482,stl_482,INV-4982,yes
UTR8800483,stl_483,INV-4983,yes
UTR8800484,stl_484,NONE,no
UTR8800485,stl_485,INV-4985,yes
UTR8800486,stl_486,INV-4986,yes
UTR8800487,stl_487,INV-4987,yes
UTR8800488,stl_488,INV-4988,yes
UTR8800489,stl_489,INV-4989,yes
UTR8800490,stl_490,INV-4990,yes
UTR8800491,stl_491,INV-4991,yes
UTR8800492,stl_492,INV-4992,yes
UTR8800493,stl_493,INV-4993,yes
UTR8800494,stl_494,NONE,no
UTR8800495,stl_495,INV-4995,yes
UTR8800496,stl_496,INV-4996,yes
UTR8800497,stl_497,INV-4997,yes
UTR8800498,stl_498,INV-4998,yes
UTR8800499,stl_499,INV-4999,yes
UTR8800500,stl_500,INV-5000,yes
