txn_date,utr_number,narration,amount,type
2026-08-07,UTR8800056,NEFT CR FLPKRT,805.2,CR
2026-08-08,UTR8800057,NEFT CR MYNTRA,4332.2,CR
2026-08-10,UTR8800058,NEFT CR NYKAA,4126.42,CR
2026-08-18,UTR8800059,NEFT CR AMZN-PAY,3401.98,CR
2026-08-05,UTR8800060,NEFT CR FLPKRT,4585.8,CR
2026-08-05,UTR8800061,NEFT CR FLPKRT,3727.58,CR
2026-08-07,UTR8800062,NEFT CR ZOMATO,3619.24,CR
2026-08-09,UTR8800063,NEFT CR RELNCE,2692.5,CR
2026-08-02,UTR8800064,NEFT CR BIGBSKT,4107.23,CR
2026-08-09,UTR8800065,NEFT CR SWIGGY,3267.68,CR
2026-08-04,UTR8800066,NEFT CR BIGBSKT,2934.87,CR
2026-08-12,UTR8800067,NEFT CR SWIGGY,2867.98,CR
2026-08-10,UTR8800068,NEFT CR BIGBSKT,1042.1299999999999,CR
2026-08-07,UTR8800069,NEFT CR AMZN-PAY,4411.08,CR
2026-08-18,UTR8800070,NEFT CR FLPKRT,2029.85,CR
2026-08-08,UTR8800071,NEFT CR SWIGGY,4528.29,CR
2026-08-01,UTR8800072,NEFT CR SWIGGY,4334.61,CR
2026-08-14,UTR8800073,NEFT CR MYNTRA,3902.44,CR
2026-08-04,UTR8800074,NEFT CR RELNCE,1180.87,CR
2026-08-15,UTR8800075,NEFT CR ZOMATO,1356.84,CR
2026-08-07,UTR8800076,NEFT CR ZOMATO,1458.82,CR
2026-08-09,UTR8800077,NEFT CR FLPKRT,4707.89,CR
2026-08-18,UTR8800078,NEFT CR BIGBSKT,3452.87,CR
2026-08-09,UTR8800079,NEFT CR FLPKRT,4315.49,CR
2026-08-20,UTR8800080,NEFT CR RELNCE,652.34,CR
2026-08-17,UTR8800081,NEFT CR MYNTRA,2391.09,CR
2026-08-14,UTR8800082,NEFT CR ZOMATO,1597.68,CR
2026-08-03,UTR8800083,NEFT CR ZOMATO,2075.89,CR
2026-08-04,UTR8800084,NEFT CR MYNTRA,3382.43,CR
2026-08-11,UTR8800085,NEFT CR RELNCE,3397.73,CR
2026-08-13,UTR8800086,NEFT CR SWIGGY,1323.07,CR
2026-08-10,UTR8800087,NEFT CR SWIGGY,3173.36,CR
2026-08-07,UTR8800088,NEFT CR AMZN-PAY,1812.4599999999998,CR
2026-08-15,UTR8800089,NEFT CR MYNTRA,2515.97,CR
2026-08-06,UTR8800090,NEFT CR NYKAA,3951.69,CR
2026-08-08,UTR8800091,NEFT CR MYNTRA,893.09,CR
2026-08-02,UTR8800092,NEFT CR ZOMATO,1128.78,CR
2026-08-21,UTR8800093,NEFT CR FLPKRT,2474.17,CR
2026-08-08,UTR8800094,NEFT CR BIGBSKT,2644.32,CR
2026-08-04,UTR8800095,NEFT CR AMZN-PAY,4383.72,CR
2026-08-08,UTR8800096,NEFT CR NYKAA,704.56,CR
2026-08-18,UTR8800097,NEFT CR NYKAA,3400.73,CR
2026-08-17,UTR8800098,NEFT CR NYKAA,3160.9100000000003,CR
2026-08-16,UTR8800099,NEFT CR SWIGGY,3732.98,CR
2026-08-09,UTR8800100,NEFT CR ZOMATO,4153.14,CR
2026-08-03,UTR8800101,NEFT CR ZOMATO,1684.49,CR
2026-08-18,UTR8800102,NEFT CR RELNCE,1951.98,CR
2026-08-05,UTR8800103,NEFT CR ZOMATO,2158.06,CR
2026-08-18,UTR8800104,NEFT CR BIGBSKT,2265.35,CR
2026-08-13,UTR8800105,NEFT CR ZOMATO,4122.69,CR
2026-08-19,UTR8800106,NEFT CR AMZN-PAY,4226.81,CR
2026-08-13,UTR8800107,NEFT CR MYNTRA,1789.37,CR
2026-08-09,UTR8800108,NEFT CR ZOMATO,2617.46,CR
2026-08-13,UTR8800109,NEFT CR BIGBSKT,1953.21,CR
2026-08-20,UTR8800110,NEFT CR NYKAA,4501.12,CR
2026-08-01,UTR8800111,NEFT CR BIGBSKT,3070.19,CR
2026-08-06,UTR8800112,NEFT CR SWIGGY,4271.01,CR
2026-08-11,UTR8800113,NEFT CR MYNTRA,1409.5,CR
2026-08-03,UTR8800114,NEFT CR BIGBSKT,1586.98,CR
2026-08-12,UTR8800115,NEFT CR AMZN-PAY,4852.1,CR
2026-08-08,UTR8800116,NEFT CR AMZN-PAY,3779.2999999999997,CR
2026-08-04,UTR8800117,NEFT CR ZOMATO,1036.48,CR
2026-08-12,UTR8800118,NEFT CR NYKAA,3539.99,CR
2026-08-06,UTR8800119,NEFT CR FLPKRT,3882.06,CR
2026-08-19,UTR8800120,NEFT CR AMZN-PAY,4541.93,CR
2026-08-07,UTR8800121,NEFT CR BIGBSKT,2217.54,CR
2026-08-10,UTR8800122,NEFT CR ZOMATO,930.29,CR
2026-08-19,UTR8800123,NEFT CR FLPKRT,3962.57,CR
2026-08-03,UTR8800124,NEFT CR BIGBSKT,3374.28,CR
2026-08-16,UTR8800125,NEFT CR AMZN-PAY,4195.56,CR
2026-08-15,UTR8800126,NEFT CR MYNTRA,3261.01,CR
2026-08-21,UTR8800127,NEFT CR SWIGGY,3689.92,CR
2026-08-19,UTR8800128,NEFT CR NYKAA,2515.47,CR
2026-08-03,UTR8800129,NEFT CR ZOMATO,4113.0,CR
2026-08-13,UTR8800130,NEFT CR NYKAA,2973.92,CR
2026-08-07,UTR8800131,NEFT CR MYNTRA,1279.23,CR
2026-08-17,UTR8800132,NEFT CR RELNCE,2912.52,CR
2026-08-08,UTR8800133,NEFT CR BIGBSKT,2618.99,CR
2026-08-01,UTR8800134,NEFT CR NYKAA,2442.54,CR
2026-08-10,UTR8800135,NEFT CR BIGBSKT,3506.45,CR
2026-08-12,UTR8800136,NEFT CR NYKAA,2902.4,CR
2026-08-15,UTR8800137,NEFT CR MYNTRA,2021.7,CR
2026-08-07,UTR8800138,NEFT CR ZOMATO,1012.19,CR
2026-08-16,UTR8800139,NEFT CR SWIGGY,1321.75,CR
2026-08-07,UTR8800140,NEFT CR RELNCE,4767.38,CR
2026-08-18,UTR8800141,NEFT CR SWIGGY,1805.32,CR
2026-08-05,UTR8800142,NEFT CR AMZN-PAY,2901.8999999999996,CR
2026-08-16,UTR8800143,NEFT CR AMZN-PAY,2992.34,CR
2026-08-09,UTR8800144,NEFT CR SWIGGY,4701.82,CR
2026-08-03,UTR8800145,NEFT CR FLPKRT,2235.24,CR
2026-08-19,UTR8800146,NEFT CR AMZN-PAY,1147.88,CR
2026-08-14,UTR8800147,NEFT CR ZOMATO,1002.55,CR
2026-08-13,UTR8800148,NEFT CR ZOMATO,3872.89,CR
2026-08-14,UTR8800149,NEFT CR RELNCE,4241.81,CR
2026-08-04,UTR8800150,NEFT CR AMZN-PAY,3147.67,CR
2026-08-06,UTR8800151,NEFT CR RELNCE,3369.51,CR
2026-08-14,UTR8800152,NEFT CR FLPKRT,1168.87,CR
2026-08-08,UTR8800153,NEFT CR NYKAA,1757.25,CR
2026-08-08,UTR8800154,NEFT CR NYKAA,796.24,CR
2026-08-18,UTR8800155,NEFT CR ZOMATO,2341.94,CR
2026-08-03,UTR8800156,NEFT CR RELNCE,4095.35,CR
2026-08-19,UTR8800157,NEFT CR RELNCE,3083.96,CR
2026-08-13,UTR8800158,NEFT CR NYKAA,3492.87,CR
2026-08-20,UTR8800159,NEFT CR NYKAA,2397.27,CR
2026-08-08,UTR8800160,NEFT CR RELNCE,598.2900000000001,CR
2026-08-09,UTR8800161,NEFT CR AMZN-PAY,4850.64,CR
2026-08-21,UTR8800162,NEFT CR SWIGGY,2540.04,CR
2026-08-14,UTR8800163,NEFT CR SWIGGY,4839.62,CR
2026-08-11,UTR8800164,NEFT CR NYKAA,2004.87,CR
2026-08-16,UTR8800165,NEFT CR SWIGGY,1925.59,CR
2026-08-18,UTR8800166,NEFT CR BIGBSKT,4038.29,CR
2026-08-04,UTR8800167,NEFT CR MYNTRA,1587.86,CR
2026-08-18,UTR8800168,NEFT CR AMZN-PAY,3357.41,CR
2026-08-20,UTR8800169,NEFT CR ZOMATO,2749.41,CR
2026-08-18,UTR8800170,NEFT CR AMZN-PAY,1374.24,CR
2026-08-16,UTR8800171,NEFT CR NYKAA,4332.12,CR
2026-08-10,UTR8800172,NEFT CR ZOMATO,3585.05,CR
2026-08-04,UTR8800173,NEFT CR BIGBSKT,892.31,CR
2026-08-10,UTR8800174,NEFT CR SWIGGY,2661.78,CR
2026-08-16,UTR8800175,NEFT CR BIGBSKT,4130.7,CR
2026-08-20,UTR8800176,NEFT CR SWIGGY,2160.47,CR
2026-08-09,UTR8800177,NEFT CR SWIGGY,4258.67,CR
2026-08-10,UTR8800178,NEFT CR RELNCE,4068.79,CR
2026-08-15,UTR8800179,NEFT CR NYKAA,4264.06,CR
2026-08-18,UTR8800180,NEFT CR MYNTRA,2895.61,CR
2026-08-08,UTR8800181,NEFT CR MYNTRA,4283.02,CR
2026-08-16,UTR8800182,NEFT CR BIGBSKT,675.87,CR
2026-08-21,UTR8800183,NEFT CR BIGBSKT,2171.35,CR
2026-08-19,UTR8800184,NEFT CR AMZN-PAY,1036.9699999999998,CR
2026-08-15,UTR8800185,NEFT CR NYKAA,920.71,CR
2026-08-05,UTR8800186,NEFT CR BIGBSKT,4288.83,CR
2026-08-13,UTR8800187,NEFT CR RELNCE,1963.83,CR
2026-08-18,UTR8800188,NEFT CR MYNTRA,4207.64,CR
2026-08-02,UTR8800189,NEFT CR NYKAA,4295.16,CR
2026-08-03,UTR8800190,NEFT CR RELNCE,4841.26,CR
2026-08-10,UTR8800191,NEFT CR FLPKRT,2422.91,CR
2026-08-12,UTR8800192,NEFT CR AMZN-PAY,1766.46,CR
2026-08-06,UTR8800193,NEFT CR BIGBSKT,2956.8,CR
2026-08-08,UTR8800194,NEFT CR BIGBSKT,3191.68,CR
2026-08-21,UTR8800195,NEFT CR SWIGGY,1499.28,CR
2026-08-15,UTR8800196,NEFT CR AMZN-PAY,4411.01,CR
2026-08-12,UTR8800197,NEFT CR SWIGGY,807.82,CR
2026-08-15,UTR8800198,NEFT CR BIGBSKT,3500.02,CR
2026-08-04,UTR8800199,NEFT CR BIGBSKT,4211.98,CR
2026-08-10,UTR8800200,NEFT CR MYNTRA,2995.59,CR
2026-08-19,UTR8800201,NEFT CR BIGBSKT,1684.44,CR
2026-08-10,UTR8800202,NEFT CR NYKAA,4122.48,CR
2026-08-07,UTR8800203,NEFT CR MYNTRA,1441.69,CR
2026-08-21,UTR8800204,NEFT CR SWIGGY,3228.97,CR
2026-08-12,UTR8800205,NEFT CR NYKAA,630.97,CR
2026-08-14,UTR8800206,NEFT CR RELNCE,1912.11,CR
2026-08-09,UTR8800207,NEFT CR MYNTRA,2803.62,CR
2026-08-10,UTR8800208,NEFT CR NYKAA,4710.360000000001,CR
2026-08-05,UTR8800209,NEFT CR NYKAA,4690.66,CR
2026-08-18,UTR8800210,NEFT CR BIGBSKT,4709.55,CR
2026-08-18,UTR8800211,NEFT CR BIGBSKT,546.03,CR
2026-08-21,UTR8800212,NEFT CR RELNCE,3038.17,CR
2026-08-20,UTR8800213,NEFT CR ZOMATO,2544.31,CR
2026-08-21,UTR8800214,NEFT CR ZOMATO,3313.72,CR
2026-08-04,UTR8800215,NEFT CR RELNCE,3320.64,CR
2026-08-16,UTR8800216,NEFT CR AMZN-PAY,1814.49,CR
2026-08-12,UTR8800217,NEFT CR SWIGGY,2182.57,CR
2026-08-05,UTR8800218,NEFT CR BIGBSKT,3050.31,CR
2026-08-09,UTR8800219,NEFT CR NYKAA,3173.95,CR
2026-08-08,UTR8800220,NEFT CR ZOMATO,2421.61,CR
2026-08-21,UTR8800221,NEFT CR MYNTRA,2863.07,CR
2026-08-04,UTR8800222,NEFT CR RELNCE,1314.2,CR
2026-08-20,UTR8800223,NEFT CR ZOMATO,3287.74,CR
2026-08-05,UTR8800224,NEFT CR MYNTRA,1548.98,CR
2026-08-08,UTR8800225,NEFT CR ZOMATO,3046.42,CR
2026-08-05,UTR8800226,NEFT CR AMZN-PAY,1696.19,CR
2026-08-01,UTR8800227,NEFT CR SWIGGY,965.32,CR
2026-08-01,UTR8800228,NEFT CR ZOMATO,3056.92,CR
2026-08-17,UTR8800229,NEFT CR SWIGGY,3724.52,CR
2026-08-12,UTR8800230,NEFT CR NYKAA,2442.98,CR
2026-08-20,UTR8800231,NEFT CR NYKAA,2685.64,CR
2026-08-01,UTR8800232,NEFT CR RELNCE,2485.63,CR
2026-08-04,UTR8800233,NEFT CR BIGBSKT,2346.89,CR
2026-08-03,UTR8800234,NEFT CR NYKAA,806.2,CR
2026-08-20,UTR8800235,NEFT CR FLPKRT,1036.35,CR
2026-08-20,UTR8800236,NEFT CR MYNTRA,2148.76,CR
2026-08-04,UTR8800237,NEFT CR BIGBSKT,918.38,CR
2026-08-08,UTR8800238,NEFT CR ZOMATO,2363.47,CR
2026-08-04,UTR8800239,NEFT CR NYKAA,2226.61,CR
2026-08-05,UTR8800240,NEFT CR RELNCE,2119.91,CR
2026-08-03,UTR8800241,NEFT CR FLPKRT,883.65,CR
2026-08-18,UTR8800242,NEFT CR MYNTRA,4030.45,CR
2026-08-14,UTR8800243,NEFT CR MYNTRA,3411.8,CR
2026-08-02,UTR8800244,NEFT CR BIGBSKT,4276.42,CR
2026-08-17,UTR8800245,NEFT CR MYNTRA,937.69,CR
2026-08-04,UTR8800246,NEFT CR NYKAA,1464.4499999999998,CR
2026-08-14,UTR8800247,NEFT CR RELNCE,2992.48,CR
2026-08-09,UTR8800248,NEFT CR AMZN-PAY,3144.89,CR
2026-08-12,UTR8800249,NEFT CR RELNCE,4509.84,CR
2026-08-13,UTR8800250,NEFT CR SWIGGY,2958.51,CR
2026-08-17,UTR8800251,NEFT CR AMZN-PAY,885.98,CR
2026-08-12,UTR8800252,NEFT CR NYKAA,1974.03,CR
2026-08-05,UTR8800253,NEFT CR FLPKRT,4342.570000000001,CR
2026-08-14,UTR8800254,NEFT CR FLPKRT,1673.59,CR
2026-08-17,UTR8800255,NEFT CR BIGBSKT,1678.24,CR
2026-08-19,UTR8800256,NEFT CR FLPKRT,1722.25,CR
2026-08-13,UTR8800257,NEFT CR RELNCE,683.6,CR
2026-08-07,UTR8800258,NEFT CR ZOMATO,1801.42,CR
2026-08-14,UTR8800259,NEFT CR FLPKRT,519.0,CR
2026-08-12,UTR8800260,NEFT CR ZOMATO,2670.02,CR
2026-08-15,UTR8800261,NEFT CR AMZN-PAY,2390.42,CR
2026-08-14,UTR8800262,NEFT CR BIGBSKT,3583.81,CR
2026-08-06,UTR8800263,NEFT CR AMZN-PAY,4704.88,CR
2026-08-04,UTR8800264,NEFT CR MYNTRA,870.14,CR
2026-08-13,UTR8800265,NEFT CR BIGBSKT,2773.52,CR
2026-08-06,UTR8800266,NEFT CR ZOMATO,1939.85,CR
2026-08-07,UTR8800267,NEFT CR FLPKRT,2802.54,CR
2026-08-05,UTR8800268,NEFT CR SWIGGY,1517.1,CR
2026-08-21,UTR8800269,NEFT CR SWIGGY,3805.31,CR
2026-08-19,UTR8800270,NEFT CR NYKAA,2511.46,CR
2026-08-21,UTR8800271,NEFT CR MYNTRA,4259.63,CR
2026-08-21,UTR8800272,NEFT CR FLPKRT,2533.2400000000002,CR
2026-08-10,UTR8800273,NEFT CR MYNTRA,2700.92,CR
2026-08-10,UTR8800274,NEFT CR AMZN-PAY,2095.62,CR
2026-08-17,UTR8800275,NEFT CR FLPKRT,3171.15,CR
2026-08-19,UTR8800276,NEFT CR AMZN-PAY,2449.34,CR
2026-08-02,UTR8800277,NEFT CR NYKAA,2674.85,CR
2026-08-03,UTR8800278,NEFT CR MYNTRA,4775.58,CR
2026-08-15,UTR8800279,NEFT CR AMZN-PAY,1567.21,CR
2026-08-10,UTR8800280,NEFT CR SWIGGY,2074.48,CR
2026-08-02,UTR8800281,NEFT CR MYNTRA,3450.16,CR
2026-08-18,UTR8800282,NEFT CR FLPKRT,1925.09,CR
2026-08-20,UTR8800283,NEFT CR RELNCE,3645.97,CR
2026-08-10,UTR8800284,NEFT CR SWIGGY,4488.92,CR
2026-08-03,UTR8800285,NEFT CR BIGBSKT,1048.41,CR
2026-08-17,UTR8800286,NEFT CR MYNTRA,4036.63,CR
2026-08-01,UTR8800287,NEFT CR BIGBSKT,2705.95,CR
2026-08-16,UTR8800288,NEFT CR ZOMATO,1977.68,CR
2026-08-10,UTR8800289,NEFT CR SWIGGY,1161.93,CR
2026-08-20,UTR8800290,NEFT CR AMZN-PAY,3376.06,CR
2026-08-20,UTR8800291,NEFT CR SWIGGY,1193.82,CR
2026-08-08,UTR8800292,NEFT CR AMZN-PAY,2279.57,CR
2026-08-08,UTR8800293,NEFT CR NYKAA,1507.19,CR
2026-08-07,UTR8800294,NEFT CR NYKAA,4433.12,CR
2026-08-10,UTR8800295,NEFT CR NYKAA,2501.52,CR
2026-08-07,UTR8800296,NEFT CR BIGBSKT,4705.18,CR
2026-08-16,UTR8800297,NEFT CR RELNCE,713.13,CR
2026-08-17,UTR8800298,NEFT CR FLPKRT,3592.11,CR
2026-08-17,UTR8800299,NEFT CR SWIGGY,1676.1899999999998,CR
2026-08-12,UTR8800300,NEFT CR ZOMATO,4051.99,CR
2026-08-08,UTR8800301,NEFT CR BIGBSKT,2677.63,CR
2026-08-11,UTR8800302,NEFT CR MYNTRA,1466.01,CR
2026-08-10,UTR8800303,NEFT CR SWIGGY,1086.18,CR
2026-08-16,UTR8800304,NEFT CR SWIGGY,3799.3,CR
2026-08-07,UTR8800305,NEFT CR FLPKRT,568.24,CR
2026-08-10,UTR8800306,NEFT CR BIGBSKT,970.83,CR
2026-08-21,UTR8800307,NEFT CR AMZN-PAY,1526.58,CR
2026-08-16,UTR8800308,NEFT CR FLPKRT,4139.27,CR
2026-08-10,UTR8800309,NEFT CR ZOMATO,3623.31,CR
2026-08-14,UTR8800310,NEFT CR MYNTRA,1535.86,CR
2026-08-12,UTR8800311,NEFT CR FLPKRT,2771.44,CR
2026-08-16,UTR8800312,NEFT CR AMZN-PAY,2190.45,CR
2026-08-01,UTR8800313,NEFT CR MYNTRA,1592.84,CR
2026-08-11,UTR8800314,NEFT CR FLPKRT,3854.6,CR
2026-08-06,UTR8800315,NEFT CR MYNTRA,4038.05,CR
2026-08-05,UTR8800316,NEFT CR NYKAA,3244.2,CR
2026-08-07,UTR8800317,NEFT CR NYKAA,647.16,CR
2026-08-17,UTR8800318,NEFT CR MYNTRA,4561.52,CR
2026-08-21,UTR8800319,NEFT CR NYKAA,1591.53,CR
2026-08-11,UTR8800320,NEFT CR AMZN-PAY,4266.41,CR
2026-08-13,UTR8800321,NEFT CR MYNTRA,2393.52,CR
2026-08-06,UTR8800322,NEFT CR BIGBSKT,1965.9,CR
2026-08-17,UTR8800323,NEFT CR MYNTRA,4522.179999999999,CR
2026-08-06,UTR8800324,NEFT CR FLPKRT,2365.82,CR
2026-08-10,UTR8800325,NEFT CR FLPKRT,834.93,CR
2026-08-15,UTR8800326,NEFT CR BIGBSKT,1213.03,CR
2026-08-14,UTR8800327,NEFT CR MYNTRA,3170.46,CR
2026-08-21,UTR8800328,NEFT CR AMZN-PAY,812.98,CR
2026-08-05,UTR8800329,NEFT CR SWIGGY,4646.32,CR
2026-08-03,UTR8800330,NEFT CR NYKAA,637.09,CR
2026-08-02,UTR8800331,NEFT CR BIGBSKT,4631.8,CR
2026-08-12,UTR8800332,NEFT CR NYKAA,4629.08,CR
2026-08-21,UTR8800333,NEFT CR MYNTRA,2223.56,CR
2026-08-06,UTR8800334,NEFT CR FLPKRT,598.41,CR
2026-08-09,UTR8800335,NEFT CR FLPKRT,1628.5,CR
2026-08-16,UTR8800336,NEFT CR RELNCE,3516.04,CR
2026-08-15,UTR8800337,NEFT CR FLPKRT,2459.91,CR
2026-08-03,UTR8800338,NEFT CR MYNTRA,3401.88,CR
2026-08-21,UTR8800339,NEFT CR RELNCE,4203.37,CR
2026-08-05,UTR8800340,NEFT CR FLPKRT,4787.099999999999,CR
2026-08-18,UTR8800341,NEFT CR MYNTRA,2526.54,CR
2026-08-13,UTR8800342,NEFT CR FLPKRT,772.39,CR
2026-08-19,UTR8800343,NEFT CR BIGBSKT,3844.38,CR
2026-08-15,UTR8800344,NEFT CR MYNTRA,3290.5,CR
2026-08-18,UTR8800345,NEFT CR MYNTRA,1045.72,CR
2026-08-02,UTR8800346,NEFT CR SWIGGY,2374.6,CR
2026-08-11,UTR8800347,NEFT CR RELNCE,1204.36,CR
2026-08-09,UTR8800348,NEFT CR RELNCE,4179.65,CR
2026-08-10,UTR8800349,NEFT CR RELNCE,1031.91,CR
2026-08-19,UTR8800350,NEFT CR SWIGGY,3069.83,CR
2026-08-19,UTR8800351,NEFT CR MYNTRA,4164.33,CR
2026-08-19,UTR8800352,NEFT CR AMZN-PAY,4627.79,CR
2026-08-01,UTR8800353,NEFT CR BIGBSKT,3184.73,CR
2026-08-13,UTR8800354,NEFT CR RELNCE,2594.39,CR
2026-08-14,UTR8800355,NEFT CR AMZN-PAY,1175.63,CR
2026-08-11,UTR8800356,NEFT CR MYNTRA,3134.68,CR
2026-08-05,UTR8800357,NEFT CR MYNTRA,4744.95,CR
2026-08-15,UTR8800358,NEFT CR FLPKRT,1878.91,CR
2026-08-02,UTR8800359,NEFT CR ZOMATO,1100.5,CR
2026-08-06,UTR8800360,NEFT CR BIGBSKT,1569.51,CR
2026-08-06,UTR8800361,NEFT CR MYNTRA,1314.3,CR
2026-08-10,UTR8800362,NEFT CR NYKAA,2663.46,CR
2026-08-08,UTR8800363,NEFT CR BIGBSKT,2692.66,CR
2026-08-16,UTR8800364,NEFT CR AMZN-PAY,706.12,CR
2026-08-01,UTR8800365,NEFT CR NYKAA,1733.18,CR
2026-08-13,UTR8800366,NEFT CR RELNCE,3662.47,CR
2026-08-07,UTR8800367,NEFT CR AMZN-PAY,2975.81,CR
2026-08-15,UTR8800368,NEFT CR FLPKRT,2172.54,CR
2026-08-04,UTR8800369,NEFT CR FLPKRT,1047.17,CR
2026-08-12,UTR8800370,NEFT CR MYNTRA,2921.43,CR
2026-08-02,UTR8800371,NEFT CR BIGBSKT,2669.21,CR
2026-08-17,UTR8800372,NEFT CR MYNTRA,3996.37,CR
2026-08-20,UTR8800373,NEFT CR SWIGGY,1917.56,CR
2026-08-17,UTR8800374,NEFT CR RELNCE,3078.2,CR
2026-08-01,UTR8800375,NEFT CR RELNCE,2559.22,CR
2026-08-19,UTR8800376,NEFT CR FLPKRT,4764.94,CR
2026-08-09,UTR8800377,NEFT CR AMZN-PAY,3092.38,CR
2026-08-19,UTR8800378,NEFT CR ZOMATO,3635.78,CR
2026-08-08,UTR8800379,NEFT CR BIGBSKT,1130.63,CR
2026-08-15,UTR8800380,NEFT CR FLPKRT,1318.46,CR
2026-08-14,UTR8800381,NEFT CR BIGBSKT,3501.26,CR
2026-08-17,UTR8800382,NEFT CR AMZN-PAY,3567.55,CR
2026-08-11,UTR8800383,NEFT CR NYKAA,2780.14,CR
2026-08-21,UTR8800384,NEFT CR MYNTRA,2870.96,CR
2026-08-08,UTR8800385,NEFT CR NYKAA,1324.92,CR
2026-08-10,UTR8800386,NEFT CR ZOMATO,4596.94,CR
2026-08-12,UTR8800387,NEFT CR NYKAA,1869.84,CR
2026-08-19,UTR8800388,NEFT CR RELNCE,1742.09,CR
2026-08-05,UTR8800389,NEFT CR BIGBSKT,4059.31,CR
2026-08-15,UTR8800390,NEFT CR FLPKRT,1997.91,CR
2026-08-18,UTR8800391,NEFT CR NYKAA,1419.79,CR
2026-08-20,UTR8800392,NEFT CR RELNCE,1084.76,CR
2026-08-17,UTR8800393,NEFT CR ZOMATO,706.95,CR
2026-08-11,UTR8800394,NEFT CR AMZN-PAY,922.84,CR
2026-08-18,UTR8800395,NEFT CR SWIGGY,507.89,CR
2026-08-07,UTR8800396,NEFT CR NYKAA,2570.39,CR
2026-08-03,UTR8800397,NEFT CR AMZN-PAY,4450.44,CR
